Sigla IES;Nome;Autores
UFMA;NANOPARTÍCULAS LIPÍDICAS SÓLIDAS;['ANTONIO CARLOS ROMAO BORGES', 'MICHAEL JACKSON FERREIRA DA SILVA', 'MARIA CELIA PIRES COSTA', 'ADRIANA LEANDRO CAMARA', 'EDUARDO RICCI JUNIOR', 'LUCIO MENDES CABRAL']
UFRN;PROCESSAMENTO DE BIOMASSA NUTRACÊUTICA ISENTA DE GLÚTEN ELABORADA COM PEDÚNCULO DE CAJU SUPLEMENTADO COM PISUM SATIVUM E MANIHOT ESCULENTA;['MARIA APARECIDA MEDEIROS MACIEL', 'ROSILDO DA SILVA', 'IONNE MARTINS SOARES DANTAS', 'LEONARDO BRUNO ARAGAO DE ARAUJO']
UFPE;HIDROGEL À BASE DE QUITOSANA CONTENDO ÓLEO ESSENCIAL DE CHAMAECYPARIS PISIFERA COM ATIVIDADE FRENTE A LINHAGENS CLÍNICAS DE CANDIDA SPP.;['JACIANA DOS SANTOS AGUIAR', 'WELLINGTON SANTOS DA SILVA', 'PETRUS D?AMORIM SANTA CRUZ OLIVEIRA', 'NORMA BUARQUE GUSMÃO', 'MARCILIO MARTINS DE MORAES', 'JUAN FELIPE GONZÁLEZ ALBA', 'JOSÉ GERALDO DE ANDRADE PACHECO', 'GLÁUCIA MANOELLA DE SOUZA LIMA', 'CLAUDIO AUGUSTO GOMES DA CÂMARA', 'ANDRELINA MARIA PINHEIRO SANTOS', 'LUIS ANDRE DE ALMEIDA CAMPOS', 'ISABELLA MACARIO FERRO CAVALCANTI']
UNIVASF;EXTRATO DE PASSIFLORA CINCINNATA E PASSIFLORA INCARNATA COM AÇÃO FOTOPROTETORA;['JACKSON ROBERTO GUEDES DA SILVA ALMEIDA']
UNICAMP;(PATENTE CONCEDIDA) MATERIAL ABSORVENTE À BASE DE HIDROGÉIS DE COPOLÍMEROS DE POLIACRILAMIDA;['MARIA REGINA WOLF MACIEL', 'HENRIQUE LUIZ GONCALVES', 'LEONARDO VASCONCELOS FREGOLENTE', 'PATRICIA BOGALHOS LUCENTE FREGOLENTE']
FIOCRUZ;NANOEMULSÃO ANTISSÉPTICA PARA CONTROLE DE SARS-COV- 2;['MILENE DIAS MIRANDA']
UFPA;IMPULSOR DE BOMBA À BASE DE NANOCOMPÓSITO POLIURETANO/NANOTUBOS DE CARBONO E SEU PROCESSO DE PRODUÇÃO;['HITO BRAGA DE MORAES', 'MARCOS ALLAN LEITE DOS REIS']
UFPA;OTIMIZAÇÃO DE SISTEMA DE BLINDAGEM MULTICAMADAS DE COMPÓSITO DE MATRIZ EPÓXI COM TECIDO DE SISAL (AGAVE SISALANA) MERCERIZADO COM HIDRÓXIDO DE SÓDIO;['SERGIO NEVES MONTEIRO', 'DOUGLAS SANTOS SILVA', 'ARTUR CAMPOSO PEREIRA']
UFPA;OTIMIZAÇÃO DE SISTEMA DE BLINDAGEM MULTICAMADAS DE COMPÓSITO DE MATRIZ EPÓXI COM FIBRA DE ACURI (SCHEELEA PHALERATA) FUNCIONALIZADA COM ÓXIDO DE GRAFENO;['SERGIO NEVES MONTEIRO', 'DOUGLAS SANTOS SILVA', 'ARTUR CAMPOSO PEREIRA']
UFCG;MÉTODO DE PRODUÇÃO DE MUCILAGEM MODIFICADA PELA FERMENTAÇÃO COM LACTOBACILLUS GASSERI PARA APLICAÇÕES INDUSTRIAIS;['MATHEUS AUGUSTO DE BITTENCOURT PASQUALI', 'SHENIA SANTOS MONTEIRO']
UFU;MÉTODO DE OBTENÇÃO DE FORMULAÇÕES HÍBRIDAS NATURAIS E FORMULAÇÕES HÍBRIDAS NATURAIS;['ALESSANDRA APARECIDA MEDEIROS RONCHI', 'MATHEUS COUTINHO GAZOLLA', 'SIMONE SOMMERFELD', 'LUCAS IAN VELOSO CORREIA', 'RAONI PAIS SIQUEIRA', 'LIGIA NUNES DE MORAIS RIBEIRO', 'ADEMAR ALVES DA SILVA FILHO', 'DANILO DE SOUZA COSTA', 'THAISE GONCALVES DE ARAUJO', 'BELCHIOLINA BEATRIZ FONSECA']
UFF;GUIA PRÁTICO PARA TRATAMENTO DE FERIDAS;['BARBARA POMPEU CHRISTOVAM', 'CHRISTIELLE DA SILVA MONTENEGRO']
SAA/SP-IAC;IAC 2155;['SERGIO AUGUSTO MORAIS CARBONELL', 'ALISSON FERNANDO CHIORATO']
UFBA;MÉTODO PARA PRODUÇÃO DE CREME FOTOPROTETOR CONTENDO EXTRATO DE JUSTICIA THUNBERGIOIDES;['JORGE MAURICIO DAVID', 'VICKYLANE DANTAS ANDRADE', 'JANAINA MAGALHAES CAMPOS DO VALE', 'ROBSON ALMEIDA SILVA', 'FERDINANDO LUCAS GOIS', 'GILDEON SILVA MARQUES', 'MILLENO DANTAS MOTA', 'TATIANA OLIVEIRA DO VALE', 'ADEMIR EVANGELISTA DO VALE', 'ERIKA MARIA DE OLIVEIRA RIBEIRO']
UFU;EQUIPAMENTO DE BANCADA PARA ANÁLISE DE SECAGEM EM LEITO FIXO E CAMADA FINA DE MATERIAIS GRANULARES;['CLAUDIO ROBERTO DUARTE', 'HEITOR OTACILIO NOGUEIRA ALTINO', 'PAULO SERGIO DE ANDRADE']
