Sigla da IES;Instituição;Patente;Autores
FEEVALE;UNIVERSIDADE FEEVALE;PROCESSO DE OBTENÇÃO DE EXTRATO SECO PADRONIZADO POR SPRAY-DRYING A PARTIR DAS FOLHAS DE EUGENIA UNIFLORA, E EXTRATO SECO OBTIDO;['SIMONE GASPARIN VERZA', 'LUANA PONS POSSER', 'NATALIA DALANHOL DE QUADROS', 'FERNANDO DAL PONT MORISSO', 'ANDRESA HEEMANN BETTI', 'JULIANE DEISE FLECK']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO PARA OBTENÇÃO DE SENSOR VOLTAMÉTRICO QUIMICAMENTE MODIFICADO COM BIOCHAR DE CASCA DE ARROZ PARA DETERMINAÇÃO DE DICLOFENACO;['LUIZ ANTONIO DE ALMEIDA PINTO', 'EDUARDO SILVEIRA RIBEIRO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;OBTENÇÃO DE SENSOR QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA PARA DETERMINAÇÃO DE TARTRAZINA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'SARA ALVES DA CUNHA', 'RAFAELA VENDRAMIN COMUNELLO', 'LEANDRO SILVA DE ALMEIDA', 'EDUARDO SILVEIRA RIBEIRO', 'ISAAC DOS SANTOS NUNES', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;LICOR PIROLENHOSO COMO REVESTIMENTO ANTICORROSIVO PARA METAIS;['NEFTALI LENIN VILLARREAL CARREÑO', 'MATHEUS DE PAULA GOULARTE', 'ERIKA VASQUES SCHNEIDER', 'RAPHAEL DORNELES CALDEIRA BALBONI', 'ANDRE LUIZ MISSIO', 'DARCI ALBERTO GATTO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CÂMARA DE TEXTURIZAÇÃO DE SUPERFÍCIES METÁLICAS CILÍNDRICAS;['HENARA LILLIAN COSTA MURRAY', 'CRISTIANO DE AZEVEDO CELENTE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MÉTODO DE IDENTIFICAÇÃO PRECOCE DE GENÓTIPO COM ALTA PRODUÇÃO DE RESINA E MÉTODO PARA ESTABELECER FLORESTAS RESINOSAS COMPOSTAS DE GENÓTIPOS SUPERRESINOSOS E HOMOGÊNEAS PARA RESINAGEM. PATENTE PRIVILÉGIO DE INOVAÇÃO. INPI - INSTITUTO NACIONAL DA PROPRIEDA;['ARTHUR GERMANO FETT NETO', 'FRANCIELE ANTONIA NEIS']
UPF;UNIVERSIDADE DE PASSO FUNDO;SISTEMA TRANSPORTADOR COM CAIXA DE CARGA E SISTEMA DE DESCARREGAMENTO COM ACIONAMENTO AUTOMÁTICO;['MARCIO HOWE']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;CÂMARA DE TEXTURIZAÇÃO DE SUPERFÍCIES METÁLICAS CILÍNDRICAS;['HENARA LILLIAN COSTA MURRAY', 'CRISTIANO DE AZEVEDO CELENTE']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;OLEOGÉIS BIOATIVOS PRODUZIDOS COM AMIDO DE FEIJÃO E CURCUMINA NATURAL COMO AGENTE ANTIOXIDANTE;['ELESSANDRA DA ROSA ZAVAREZE', 'CAMILA DE OLIVEIRA PACHECO', 'FELIPE NARDO DOS SANTOS', 'JULIANI BUCHVEITZ PIRES', 'ELDER PACHECO DA CRUZ', 'FRANCINE TAVARES DA SILVA', 'LAURA MARTINS FONSECA', 'CRISTINA JANSEN', 'ALVARO RENATO GUERRA DIAS']
URI;UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES;PROCESSO DE SÍNTESE DO MATERIAL MESOPOROSO GRAFENOSILICATO DO TIPO MCM-48 UTILIZANDO O SÓLIDO IÔNICO [C16MI].CL COMO AGENTE DIRECIONADOR DE ESTRUTURA DOPADO COM ÓXIDO DE LANTÂNIO (LA2O3);['ROGERIO MARCOS DAL LAGO', 'MARCELO LUIS MIGNONI']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CONSTRUÇÃO VACINAL BASEADA EM BCG RECOMBINANTE EXPRESSANDO ANTÍGENO ASP-2 DE TRYPANOSOMA CRUZI;['FABIANA KOMMLING SEIXAS', 'FERNANDA KANAAN DE AZAMBUJA', 'GUSTAVO DOS SANTOS HARTLEBEN', 'BARBARA DA ROCHA FONSECA', 'GUILHERME SENNA DOS SANTOS', 'FERNANDA SEVERO SABEDRA SOUSA', 'SIBELE BORSUK', 'TIAGO VEIRAS COLLARES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESENVOLVIMENTO DE ELETRODO DE FILME QUIMICAMENTE MODIFICADO COM BIOCHAR DE SOJA APLICADO A DETERMINAÇÃO VOLTAMÉTRICA DE CAFEÍNA;['LUIZ ANTONIO DE ALMEIDA PINTO', 'ANA PAULA DE OLIVEIRA LOPES INACIO', 'TITO ROBERTO SANT ANNA CADAVAL JUNIOR', 'ELIEZER QUADRO ORESTE', 'DAIANE DIAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MÉTODOS E APLICATIVOS USANDO SATISFATIBILIDADE PARA OBTER UMA DESCRIÇÃO DE UM CIRCUITO EQUIVALENTE COMPOSTO DE SUBCIRCUITOS OTIMIZANDO UMA FUNÇÃO DE CUSTO;['ANDRE INACIO REIS', 'LEONARDO DROVES SILVEIRA', 'RENATO DONIZETE PERALTA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO DE FUNCIONALIZAÇÃO ELETROQUÍMICA DO 4,4-DIFLUORO-4-BORA-3A,4A-DIAZA-S-INDACENO COM GRUPOS ORGANOSSELÊNIOS, MOLÉCULAS FUNCIONADAS COM GRUPOS ORGANOSSELÊNIOS E USO;['FABIANO SEVERO RODEMBUSCH']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;MODELO DE ALGORITMO PARA DETECÇÃO DE RETINOPATIA DIABÉTICA REFERENCIÁVEL;['PHILIPPE OLIVIER ALEXANDRE NAVAUX', 'CRISTIANO ALEX KUNAS', 'MATEUS AUGUSTO DOS REIS', 'BEATRIZ D AGORD SCHAAN']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CONCESSÃO DE PATENTE: PROCESSO DE RECUPERAÇÃO DE POLIHIDROXIALCANOATOS (PHAS) VIA EXTRAÇÃO FÍSICA;['CLAIRE TONDO VENDRUSCOLO', 'MARIANE IGANSI ALVES', 'KARINE LASTE MACAGNAN', 'ANGELITA DA SILVEIRA MOREIRA']
