Sigla;Nome;Tipo Produção;Autores
UNICAMP;ANÁLISE MORFOESTRUTURAL DE CRATERAS DE IMPACTO EM PLUTÃO: IMPLICAÇÕES PARA O ESTUDO DE CRATERAS COMPLEXAS;DISSERTAÇÃO;['NADINE DE CAMPOS DA SILVA']
INPE; PREVISÃO DE CURTO PRAZO DE PRECIPITAÇÃO COM REDES NEURAIS CONVOLUCIONAIS LSTM: INTEGRANDO DADOS DE SATÉLITE E TÉCNICAS DE APRENDIZADO DE TRANSFERÊNCIA;DISSERTAÇÃO;['OTAVIO MEDEIROS FEITOSA']
UFPA;EVOLUÇÃO DA PAISAGEM DA PORÇÃO CENTRO-ORIENTAL DA AMAZÔNIA DO CRETÁCEO AO PALEÓGENO;DISSERTAÇÃO;['MATHEUS RAMOS DE MOURA']
UFRJ;Determining the structure and composition of exoplanetary atmospheres from Hubble Space Telescope and James Webb Space Telescope transmission spectra;TESE;['ALINE RAMOS RIBEIRO']
UFPEL;Um pipeline de aprendizado de máquina para reconhecimento de emoções com base em informações temporais e espaciais de mapas topográficos gerados a partir de sinais de eletroencefalograma;DISSERTAÇÃO;['BRUNO CASCAES ALVES']
UESPI;Caracterização fitoquímica e citogenotóxica das folhas  de  Centratherum punctatum Cass.;DISSERTAÇÃO;['ANA KARLA ARAUJO SILVA']
FURG;“IMPACTOS ECOLÓGICOS E AVALIAÇÃO DA EFICIÊNCIA DE MEDIDAS REDUTORAS DE CAPTURA INCIDENTAL NA PESCA ARTESANAL DE CAMARÃO-ROSA (Penaeus paulensis)”. ;TESE;['SAMANTA DA SILVEIRA BORGES']
IFCE;Logic-based explainability for reject option-based classifiers and expanding minimal explanations for standard classifiers ;DISSERTAÇÃO;['FRANCISCO MATEUS ROCHA FILHO']
UFPI;Investigação das propriedades térmo-ópticas de nanopartículas de ouro e prata obtidas por síntese verde a partir do extrato da folha de anacardium occidentale l. (cajueiro). ;DISSERTAÇÃO;['ADRIANO ALMEIDA DA SILVA']
INPE; Previsão do tempo na região costeira sul brasileira através de modelagem regional acoplada oceano-atmosfera;DISSERTAÇÃO;['VINICIO LIMA SANTOS']
UFRJ;Estudos por desreplicação de extratos de plantas da flora fluminense e colombiana na busca de potenciais inibidores da nucleosídeo hidrolase da Leishmania donovani (LdNH);TESE;['GREGORIO TORRES RANGEL']
UESPI;Estudo Catalítico via Metátese de Olefinas do Metacrilato de Alila Mediado por Complexos de Ru (II);DISSERTAÇÃO;['TALIA DA SILVA SOUSA']
UFC;Unicidade dos estados de equilíbrio.;DISSERTAÇÃO;['ALISSON DA CONCEICAO PEREIRA']
UFBA;Compostos bioativos obtidos da casca de maçã (Malus domestica);DISSERTAÇÃO;['MARIA APARECIDA BARROS OLIVEIRA']
INPE;O EXPERIMENTO LECX A BORDO DO CUBESAT NANOMIRAX E ESTUDO DO UNIVERSO EM ALTOS REDSHIFTS UTILIZANDO GAMMA-RAY BURSTS;DISSERTAÇÃO;['GABRIEL LUIZ FERREIRA SANTOS']
UERJ;Materiais compósitos de matriz termofixa e fibras sintéticas oriundas de cabos de ancoragem;DISSERTAÇÃO;['ANA CAROLINA SILVA GONCALVES']
USP;Uma Combinação Perfeita? Examinando as semelhanças atuais entre o desenvolvimento de Software Livre e Programação Extrema (XP);DISSERTAÇÃO;['RODRIGO LIMA DA COSTA']
UFPA;SOLUÇÕES DE EQUAÇÕES DIFERENCIAIS PARCIAIS VIA REDE NEURAL DE HERMITE;DISSERTAÇÃO;['JOSIANE REIS SILVA']
ITA;STATISTICAL STUDY OF GRAVITY WAVES IN THE LOWER ATMOSPHERE AND PREDICTIVE MODELING OF LOW LATITUDE IONOSPHERIC IRREGULARITIES;TESE;['ALYSSON BRHIAN DE SOUZA MUNIZ SILVA']
PUCPR;UMA ARQUITETURA DE SEGURANÇA UTILIZANDO COMPUTAÇÃO CONFIÁVEL E ZERO TRUST;DISSERTAÇÃO;['JUAREZ DE OLIVEIRA']
PUC MINAS;PARALELISMO NA GERAÇÃO DE CONCEITOS BASEADO NO PARTICIONAMENTO DO CONTEXTO FORMAL;DISSERTAÇÃO;['ANDRE LUIZ TEODORO ALVES']
UFES;Using Skill Manifestations to identify Who Knows What in Software Organizations;DISSERTAÇÃO;['CARLOS EDUARDO CORREA BRAGA']
UFCG;ANÁLISE HIDROCLIMÁTICA EM BACIAS HIDROGRÁFICAS NO SEMIÁRIDO BRASILEIRO DE ACORDO COM PROJEÇÕES DO CMIP6;DISSERTAÇÃO;['MATHEUS HENRIQUE BEZERRA DE MELO']
UNICAMP;AVALIAÇÃO DE PROPRIEDADE ANTIMICROBIANA, ANTIPARASITÁRIA E ANTIVIRAL DE COMPLEXOS DE PRATA(I) COM DERIVADOS DE SULFADOXINA E CARBENOS N-HETEROCÍCLICOS DE OURO(I);TESE;['IGOR SANTOS OLIVEIRA']
UFRN;ANALISE BIBLIOMETRICA E APRENDIZADO DE MAQUINAS PARA DETERMINAR TRANSPORTADORES DE OXIGENIO OTIMIZADOS A BASE DE MANGANES PARA APLICACAO EM PROCESSOS DE RECIRCULACAO QUIMICA;DISSERTAÇÃO;['ARIVONALDO BEZERRA DA SILVA']
UNICAMP;COSMECÊUTICOS À BASE DE BIOFLAVONÓIDES E NANOPARTÍCULAS;DISSERTAÇÃO;['LETICIA HUAN BACELLAR LIU']
UFRJ;Anosov geodesic flows in non-compact manifolds;TESE;['ALEXANDER VIDAL CANTORAL VILCHEZ']
UFRGS;Providing an energy efficient UAV BS positioning mechanism to improve wireless connectivity;TESE;['FAEZEH PASANDIDEH']
UNESP-SÃO JOSÉ DO RIO PRETO;Luminóforos baseados em MgAl2O4 do tipo espinélio contendo íons terras raras e metais alcalinos: espectroscopia de luminescência de európio(III) na elucidação da ocupação de sítios;DISSERTAÇÃO;['MARIA EDUARDA MARRA MESTI']
UFES;AN ENHANCED MODEL PREDICTIVE MOTION PLANNER FOR AN INTEGRATED AUTONOMOUS VEHICLE SOFTWARE SYSTEM;TESE;['VINICIUS BRITO CARDOSO']
UFU;APLICAÇÕES ESTRATÉGICAS DE NANOCOMPÓSITOS MULTIFUNCIONAIS  DE ÓXIDO DE GRAFENO REDUZIDO E HEXACIANOFERRATOS  BIMETÁLICOS: DA CONSTRUÇÃO DE SENSORES ELETROQUÍMICOS À  CONVERSÃO E ARMAZENAMENTO DE ENERGIA;TESE;['PEDRO HENRIQUE DE SOUZA BORGES']
UFC;Desvendando a Ligação da Frutose e da Glicose à Albumina do Soro Humano: medições de fluorescência e cálculos de docking, dinâmica molecular e bioquímica quântica;TESE;['ANDRE HADAD CORTEZ']
UFRPE;SÍNTESE DE DERIVADOS DE 1,4-NAFTOQUINONA VIA REAÇÃO COM ARILAMIDOXIMAS;DISSERTAÇÃO;['ADIEL SOARES FERREIRA']
UFPE;Método de Particionamento Utilizando Distância de Mahalanobis para Intervalos;DISSERTAÇÃO;['ICARO JOSIAS FERREIRA PAIVA']
IEAPM;Detecção e classificação automática de sinais acústicos de baixa frequência de Balaenoptera borealis utilizando técnicas de computação visual;DISSERTAÇÃO;['VINICIUS REVEILLEAU']
UFPE;Um sistema híbrido baseado em combinação de preditores para previsão de vários passos à frente de séries temporais de taxas de mortalidade;TESE;['FILIPE COELHO DE LIMA DUARTE']
